subject_id,alpha_clustering,beta_clustering,delta_clustering,gamma_clustering,theta_clustering,alpha_path_length,beta_path_length,delta_path_length,gamma_path_length,theta_path_length,alpha_sigma,beta_sigma,delta_sigma,gamma_sigma,theta_sigma,alpha_avg_connectivity,beta_avg_connectivity,delta_avg_connectivity,gamma_avg_connectivity,theta_avg_connectivity
001,0.43657073617811915,0.6077143564252364,0.44826310592392193,0.5219170624040562,0.4638960277669986,0.2514434474354707,0.1693892358013678,0.16127136868962844,0.16528813559321975,0.18787984015433404,0.3152256191238327,0.651359715180973,0.5046414644169591,0.5732803048150446,0.44827826202721627,0.26456364240611485,0.16939161462979468,0.16289557135046479,0.16535967373816718,0.1909571448256856
021,0.3224319427792165,0.3483184349421164,0.33621933360838546,0.31212425569354013,0.3837729816122569,0.17742328569845986,0.18017787524366569,0.15650400947694565,0.15206719796460536,0.15786568141105095,0.3299397569566753,0.3509798684965788,0.3900357563301961,0.37264833393849334,0.4413609192659275,0.18321009194638305,0.1820671027852116,0.16886618370694367,0.17330625397538071,0.16094029902163426
022,0.4248288299086972,0.5296097006242798,0.44519830381586617,0.3467923679067402,0.5742094283580632,0.17993494264680615,0.2155951426245766,0.18516990572758768,0.16398262567305105,0.1746263795457664,0.42865281419840123,0.44598902035239274,0.43650608606588287,0.38395374047600966,0.596990852893194,0.1807768613351863,0.21594145438926896,0.18881322796030275,0.1867274155858735,0.17528780988888465
024,0.468599697565246,0.24836222199662925,0.471392098435504,0.33540644683087606,0.37566755573329635,0.18454015730585843,0.2006695080450655,0.17366721341352132,0.16595263216971534,0.18162601626016092,0.46101847017105185,0.22470428714799984,0.49280110211736394,0.3669395031093527,0.3755197987934703,0.1861739226764152,0.20430356493871202,0.1745857481319483,0.18731499981292304,0.1873567589913188
047,0.40257869571732213,0.6136340869107016,0.4536008880934739,0.3451887929871905,0.45596778078972783,0.224873527565451,0.20269637265375212,0.2101512666302167,0.17163999783822373,0.1983923568049231,0.32502716782359714,0.5496303515759459,0.3918763840038232,0.36512821556448793,0.4172692940497964,0.23203722166832827,0.20269637265375176,0.21581718405119166,0.20249435651837694,0.20112841241406762
049,0.45266467478543415,0.6427691594500214,0.38450110706530227,0.37677323635348725,0.4906351182586209,0.18982232047817915,0.18078406529711658,0.18641690636365799,0.1765971879926015,0.18661142764706923,0.43294879359002686,0.6455086858137191,0.37447213420833186,0.38734991898347226,0.47733975172729887,0.19120994504409478,0.18078406529711646,0.1894374846475068,0.1900312499491638,0.18863945455961564
051,0.394377659257769,0.49525414040567156,0.481900738557022,0.3780114876609254,0.4053823881938524,0.18003575480455092,0.18741647612114193,0.18677878119442182,0.14528598872636891,0.18393180425083008,0.39770472335140106,0.47976388750172494,0.46842197678904135,0.47237670513592556,0.4001430274185893,0.18160308346989687,0.1876403457504077,0.1904652375835046,0.1613860709111155,0.1870754990425416
071,0.3992205643717555,0.5558657641512826,0.35149632216623494,0.40072641097775435,0.413643254959425,0.24603697325531912,0.19153223182363296,0.1632972701316054,0.1961034749787708,0.17542519030737297,0.29459117749678565,0.5269085733600335,0.39079506280780274,0.37099656196364617,0.428096028005708,0.26471360329785076,0.19185231239944303,0.16830193680931782,0.22839779544235722,0.1808260363035063
072,0.4943223401967457,0.6097099295968679,0.49987132681213065,0.37833954387063956,0.5846856824259059,0.2034718068018137,0.16666521293818315,0.23913176599234526,0.16632079919182793,0.17100234256579788,0.4410757735008292,0.6641795722256089,0.3795143155709883,0.41299270504907537,0.6207655495887887,0.2071368117868615,0.16666521293818334,0.24342482230727175,0.1853035507165037,0.17136006614303442
073,0.4786075425619118,0.5279843731722187,0.43671084436247515,0.29483454332170683,0.36597950501385784,0.17706325468040326,0.1841166003521039,0.17648858340493248,0.14932973076984885,0.2130435638496819,0.49074773448816983,0.5206373603823741,0.44924635999285173,0.3584588362567951,0.3118857660249315,0.1780444381142287,0.1844823924217324,0.18356504985810618,0.17741609608261302,0.2502893757751137
076,0.448296518223821,0.44055691341294484,0.5224668069559963,0.3239863323988391,0.5289264273368574,0.25214480016739893,0.3188463416335375,0.18850211611283219,0.18044798643070023,0.2169767121400029,0.32279184724841414,0.2508579045130037,0.5032104856548519,0.32597317087843936,0.44257751954312263,0.26218997329000643,0.33135207762029056,0.19034688050543708,0.21118802043709411,0.21799794834106523
092,0.45111191170737736,0.6959112462659771,0.4707862271505546,0.36314747550735205,0.5485364882054908,0.2458859532513572,0.19750925099943814,0.24922316384180807,0.19581415796759752,0.23305256993247983,0.33308707682131333,0.6396959787344932,0.34295927452300734,0.3367023501584598,0.42732552333466756,0.2556220228204276,0.1975092509994383,0.25372243484599966,0.22628241104501068,0.23402921317348768
